176,RandomHusPlayer,260549558,1,260549558,44,game00176.log,
177,260549558,RandomHusPlayer,0,260549558,27,game00177.log,
178,RandomHusPlayer,260549558,1,260549558,44,game00178.log,
179,260549558,RandomHusPlayer,0,260549558,27,game00179.log,
180,RandomHusPlayer,260549558,1,260549558,44,game00180.log,
181,260549558,RandomHusPlayer,0,260549558,28,game00181.log,
182,RandomHusPlayer,260549558,1,260549558,48,game00182.log,
183,260549558,RandomHusPlayer,0,260549558,28,game00183.log,
184,RandomHusPlayer,260549558,1,260549558,48,game00184.log,
185,260549558,RandomHusPlayer,0,260549558,28,game00185.log,
186,RandomHusPlayer,260549558,1,260549558,48,game00186.log,
187,260549558,RandomHusPlayer,0,260549558,28,game00187.log,
188,RandomHusPlayer,260549558,1,260549558,48,game00188.log,
189,260549558,RandomHusPlayer,0,260549558,28,game00189.log,
190,RandomHusPlayer,260549558,1,260549558,48,game00190.log,
191,260549558,RandomHusPlayer,0,260549558,28,game00191.log,
192,RandomHusPlayer,260549558,1,260549558,48,game00192.log,
193,260549558,RandomHusPlayer,0,260549558,28,game00193.log,
194,RandomHusPlayer,260549558,1,260549558,48,game00194.log,
195,260549558,RandomHusPlayer,0,260549558,28,game00195.log,
196,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00196.log,
197,260549558,RandomHusPlayer,0,260549558,41,game00197.log,
198,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00198.log,
199,260549558,RandomHusPlayer,0,260549558,41,game00199.log,
200,260549558,RandomHusPlayer,0,260549558,41,game00200.log,
201,260549558,RandomHusPlayer,0,260549558,41,game00201.log,
202,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00202.log,
203,260549558,RandomHusPlayer,0,260549558,41,game00203.log,
204,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00204.log,
205,260549558,RandomHusPlayer,0,260549558,41,game00205.log,
206,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00206.log,
207,RandomHusPlayer,260549558,0,RandomHusPlayer,70,game00207.log,
208,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00208.log,
209,260549558,RandomHusPlayer,0,260549558,45,game00209.log,
210,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00210.log,
211,260549558,RandomHusPlayer,0,260549558,45,game00211.log,
212,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00212.log,
213,260549558,RandomHusPlayer,0,260549558,45,game00213.log,
214,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00214.log,
215,260549558,RandomHusPlayer,0,260549558,45,game00215.log,
216,RandomHusPlayer,260549558,0,RandomHusPlayer,45,game00216.log,
217,260549558,RandomHusPlayer,0,260549558,45,game00217.log,
